peak_id	chromosome	start	end	strand
75	chr1	9597368	9597768	*
76	chr1	9602336	9602736	*
77	chr1	9607889	9608289	*
78	chr1	9630952	9631352	*
79	chr1	9640833	9641233	*
80	chr1	9674184	9674584	*
81	chr1	9700475	9700875	*
82	chr1	9731342	9731742	*
83	chr1	9748257	9748657	*
84	chr1	9754957	9755357	*
85	chr1	9769545	9769945	*
86	chr1	9772764	9773164	*
87	chr1	9782321	9782721	*
88	chr1	9798903	9799303	*
89	chr1	9805914	9806314	*
90	chr1	9812913	9813313	*
91	chr1	9815790	9816190	*
92	chr1	9823566	9823966	*
93	chr1	9825845	9826245	*
94	chr1	9848075	9848475	*
95	chr1	9850068	9850468	*
96	chr1	9857536	9857936	*
97	chr1	9858969	9859369	*
98	chr1	9876781	9877181	*
99	chr1	9881855	9882255	*
100	chr1	9893086	9893486	*
101	chr1	9906884	9907284	*
102	chr1	9943941	9944341	*
103	chr1	9952927	9953327	*
104	chr1	9968026	9968426	*
105	chr1	9982971	9983371	*
106	chr1	9991806	9992206	*
107	chr1	9997555	9997955	*
108	chr1	10003258	10003658	*
109	chr1	10007234	10007634	*
110	chr1	10037819	10038219	*
111	chr1	10039736	10040136	*
112	chr1	10054236	10054636	*
113	chr1	10114767	10115167	*
114	chr1	10116712	10117112	*
115	chr1	10150585	10150985	*
116	chr1	10164930	10165330	*
117	chr1	10177604	10178004	*
118	chr1	10211260	10211660	*
119	chr1	10232877	10233277	*
120	chr1	10239018	10239418	*
121	chr1	10254392	10254792	*
122	chr1	10261405	10261805	*
123	chr1	10266818	10267218	*
124	chr1	10269014	10269414	*
125	chr1	10280210	10280610	*
126	chr1	10284613	10285013	*
127	chr1	10298760	10299160	*
128	chr1	10314905	10315305	*
129	chr1	10325725	10326125	*
130	chr1	10719755	10720155	*
131	chr1	10877383	10877783	*
132	chr1	10880323	10880723	*
133	chr1	11414036	11414436	*
134	chr1	12171641	12172041	*
135	chr1	12657428	12657828	*
136	chr1	12715390	12715790	*
137	chr1	12865103	12865503	*
138	chr1	12875894	12876294	*
139	chr1	12877592	12877992	*
140	chr1	12942388	12942788	*
141	chr1	12958443	12958843	*
142	chr1	12983122	12983522	*
143	chr1	12986037	12986437	*
144	chr1	12992337	12992737	*
145	chr1	13012601	13013001	*
146	chr1	13029347	13029747	*
147	chr1	13052051	13052451	*
148	chr1	13062634	13063034	*
149	chr1	13099183	13099583	*
150	chr1	13125137	13125537	*
151	chr1	13136054	13136454	*
152	chr1	13153144	13153544	*
153	chr1	13162316	13162716	*
154	chr1	13176486	13176886	*
155	chr1	13188456	13188856	*
156	chr1	13206857	13207257	*
157	chr1	13214431	13214831	*
158	chr1	13231907	13232307	*
159	chr1	13236316	13236716	*
160	chr1	13245714	13246114	*
161	chr1	13256202	13256602	*
162	chr1	13257981	13258381	*
163	chr1	13267394	13267794	*
164	chr1	13291587	13291987	*
165	chr1	13293251	13293651	*
166	chr1	13295513	13295913	*
167	chr1	13297178	13297578	*
168	chr1	13301492	13301892	*
169	chr1	13305407	13305807	*
170	chr1	13311561	13311961	*
171	chr1	13328338	13328738	*
172	chr1	13332560	13332960	*
173	chr1	13335915	13336315	*
174	chr1	13342575	13342975	*
175	chr1	13360653	13361053	*
176	chr1	13363662	13364062	*
177	chr1	13366230	13366630	*
178	chr1	13372370	13372770	*
179	chr1	13424510	13424910	*
180	chr1	13426414	13426814	*
181	chr1	13454515	13454915	*
182	chr1	13513780	13514180	*
183	chr1	13531512	13531912	*
184	chr1	13559903	13560303	*
185	chr1	13589531	13589931	*
186	chr1	13593118	13593518	*
187	chr1	13606772	13607172	*
188	chr1	13615863	13616263	*
189	chr1	13623538	13623938	*
190	chr1	13639478	13639878	*
191	chr1	13647874	13648274	*
192	chr1	13652127	13652527	*
193	chr1	13660395	13660795	*
194	chr1	13740700	13741100	*
195	chr1	13752505	13752905	*
196	chr1	13772119	13772519	*
197	chr1	13773604	13774004	*
198	chr1	13789244	13789644	*
199	chr1	13840012	13840412	*
200	chr1	13863802	13864202	*
201	chr1	13865682	13866082	*
202	chr1	13873952	13874352	*
203	chr1	13883324	13883724	*
204	chr1	13978636	13979036	*
205	chr1	13980281	13980681	*
206	chr1	14002550	14002950	*
207	chr1	14010731	14011131	*
208	chr1	14016886	14017286	*
209	chr1	14104542	14104942	*
210	chr1	14143878	14144278	*
211	chr1	14218595	14218995	*
212	chr1	14224887	14225287	*
213	chr1	14288543	14288943	*
214	chr1	14293373	14293773	*
215	chr1	14296984	14297384	*
216	chr1	14299021	14299421	*
217	chr1	14304498	14304898	*
218	chr1	14309736	14310136	*
219	chr1	14332266	14332666	*
220	chr1	14484527	14484927	*
221	chr1	14495687	14496087	*
222	chr1	14504793	14505193	*
223	chr1	14506487	14506887	*
224	chr1	14573133	14573533	*
225	chr1	14576898	14577298	*
226	chr1	14579379	14579779	*
227	chr1	14590815	14591215	*
228	chr1	14593897	14594297	*
229	chr1	14596012	14596412	*
230	chr1	14635887	14636287	*
231	chr1	14641721	14642121	*
232	chr1	14755357	14755757	*
233	chr1	14781343	14781743	*
234	chr1	14924866	14925266	*
235	chr1	14995339	14995739	*
236	chr1	15017894	15018294	*
237	chr1	15018337	15018737	*
238	chr1	15627618	15628018	*
239	chr1	15656904	15657304	*
240	chr1	15690789	15691189	*
241	chr1	15758898	15759298	*
242	chr1	15798965	15799365	*
243	chr1	15805383	15805783	*
244	chr1	15850739	15851139	*
245	chr1	15892475	15892875	*
246	chr1	16059723	16060123	*
247	chr1	16079048	16079448	*
248	chr1	16092997	16093397	*
249	chr1	16105294	16105694	*
250	chr1	16110767	16111167	*
251	chr1	16122102	16122502	*
252	chr1	16161662	16162062	*
253	chr1	16191184	16191584	*
254	chr1	16194167	16194567	*
255	chr1	16205968	16206368	*
256	chr1	16206981	16207381	*
257	chr1	16216548	16216948	*
258	chr1	16220156	16220556	*
259	chr1	16228204	16228604	*
260	chr1	16304859	16305259	*
261	chr1	16342859	16343259	*
262	chr1	16355320	16355720	*
263	chr1	16443557	16443957	*
264	chr1	16504925	16505325	*
265	chr1	16518600	16519000	*
266	chr1	16570881	16571281	*
267	chr1	16578408	16578808	*
268	chr1	16619149	16619549	*
269	chr1	16637727	16638127	*
270	chr1	16642203	16642603	*
271	chr1	16651081	16651481	*
272	chr1	16656899	16657299	*
273	chr1	16659412	16659812	*
274	chr1	16665157	16665557	*
275	chr1	16675003	16675403	*
276	chr1	16688134	16688534	*
277	chr1	16696531	16696931	*
278	chr1	16702837	16703237	*
279	chr1	16723205	16723605	*
280	chr1	16747287	16747687	*
281	chr1	16749731	16750131	*
282	chr1	16758806	16759206	*
283	chr1	16784422	16784822	*
284	chr1	16790781	16791181	*
285	chr1	16798266	16798666	*
286	chr1	16800947	16801347	*
287	chr1	17018239	17018639	*
288	chr1	17097717	17098117	*
289	chr1	17123396	17123796	*
290	chr1	17145251	17145651	*
291	chr1	17434113	17434513	*
292	chr1	17449268	17449668	*
293	chr1	17451660	17452060	*
294	chr1	17489219	17489619	*
295	chr1	17520290	17520690	*
296	chr1	17530615	17531015	*
297	chr1	17608241	17608641	*
298	chr1	18058463	18058863	*
299	chr1	18681903	18682303	*
300	chr1	19199733	19200133	*
301	chr1	19210164	19210564	*
302	chr1	19552779	19553179	*
303	chr1	20069662	20070062	*
304	chr1	20639829	20640229	*
305	chr1	20807447	20807847	*
306	chr1	20817114	20817514	*
307	chr1	20820185	20820585	*
308	chr1	20829339	20829739	*
309	chr1	20879118	20879518	*
310	chr1	20890333	20890733	*
311	chr1	20912179	20912579	*
312	chr1	20925936	20926336	*
313	chr1	20933482	20933882	*
314	chr1	20939047	20939447	*
315	chr1	20940120	20940520	*
316	chr1	20951436	20951836	*
317	chr1	20981928	20982328	*
318	chr1	20989458	20989858	*
319	chr1	20995562	20995962	*
320	chr1	20997545	20997945	*
321	chr1	21008827	21009227	*
322	chr1	21014461	21014861	*
323	chr1	21025156	21025556	*
324	chr1	21035851	21036251	*
325	chr1	21049017	21049417	*
326	chr1	21068465	21068865	*
327	chr1	21070077	21070477	*
328	chr1	21076244	21076644	*
329	chr1	21079289	21079689	*
330	chr1	21086252	21086652	*
331	chr1	21094781	21095181	*
332	chr1	21101183	21101583	*
333	chr1	21161748	21162148	*
334	chr1	21166221	21166621	*
335	chr1	21210412	21210812	*
336	chr1	21218451	21218851	*
337	chr1	21227676	21228076	*
338	chr1	21229378	21229778	*
339	chr1	21240297	21240697	*
340	chr1	21244271	21244671	*
341	chr1	21271394	21271794	*
342	chr1	21552687	21553087	*
343	chr1	21554626	21555026	*
344	chr1	21567300	21567700	*
345	chr1	21615482	21615882	*
346	chr1	21780812	21781212	*
347	chr1	21787475	21787875	*
348	chr1	21829935	21830335	*
349	chr1	21856404	21856804	*
350	chr1	21864205	21864605	*
351	chr1	21961359	21961759	*
352	chr1	22181686	22182086	*
353	chr1	23184732	23185132	*
354	chr1	23187819	23188219	*
355	chr1	23202609	23203009	*
356	chr1	23255941	23256341	*
357	chr1	23286719	23287119	*
358	chr1	23380050	23380450	*
359	chr1	23383201	23383601	*
360	chr1	23399548	23399948	*
361	chr1	23418948	23419348	*
362	chr1	23433628	23434028	*
363	chr1	23466322	23466722	*
364	chr1	23555794	23556194	*
365	chr1	23654377	23654777	*
366	chr1	23762780	23763180	*
367	chr1	23827037	23827437	*
368	chr1	23843740	23844140	*
369	chr1	23867368	23867768	*
370	chr1	23915380	23915780	*
371	chr1	23922112	23922512	*
372	chr1	23968721	23969121	*
373	chr1	23983086	23983486	*
374	chr1	24005461	24005861	*
375	chr1	24062154	24062554	*
376	chr1	24092432	24092832	*
377	chr1	24100118	24100518	*
378	chr1	24102701	24103101	*
379	chr1	24248298	24248698	*
380	chr1	24372749	24373149	*
381	chr1	24378469	24378869	*
382	chr1	24469504	24469904	*
383	chr1	24471224	24471624	*
384	chr1	24481567	24481967	*
385	chr1	24514259	24514659	*
386	chr1	24553435	24553835	*
387	chr1	24572597	24572997	*
388	chr1	24586862	24587262	*
389	chr1	24595054	24595454	*
390	chr1	24633713	24634113	*
391	chr1	24659882	24660282	*
392	chr1	24678401	24678801	*
393	chr1	24686223	24686623	*
394	chr1	24699288	24699688	*
395	chr1	26407070	26407470	*
396	chr1	26910249	26910649	*
397	chr1	28047939	28048339	*
398	chr1	28053960	28054360	*
399	chr1	29403567	29403967	*
400	chr1	29426469	29426869	*
401	chr1	30719653	30720053	*
402	chr1	30720594	30720994	*
403	chr1	30779488	30779888	*
404	chr1	30851950	30852350	*
405	chr1	30873781	30874181	*
406	chr1	30877844	30878244	*
407	chr1	30920821	30921221	*
408	chr1	30949657	30950057	*
409	chr1	31028411	31028811	*
410	chr1	31033867	31034267	*
411	chr1	31042765	31043165	*
412	chr1	31050296	31050696	*
413	chr1	31058160	31058560	*
414	chr1	31101068	31101468	*
415	chr1	31107947	31108347	*
416	chr1	31142200	31142600	*
417	chr1	31153933	31154333	*
418	chr1	32129729	32130129	*
419	chr1	32172455	32172855	*
420	chr1	32961108	32961508	*
421	chr1	32972406	32972806	*
422	chr1	33007247	33007647	*
423	chr1	33106544	33106944	*
424	chr1	33182561	33182961	*
425	chr1	33453323	33453723	*
426	chr1	33469484	33469884	*
427	chr1	33502853	33503253	*
428	chr1	33529545	33529945	*
429	chr1	33531888	33532288	*
430	chr1	33535190	33535590	*
431	chr1	33570120	33570520	*
432	chr1	33574439	33574839	*
433	chr1	33578528	33578928	*
434	chr1	33581468	33581868	*
435	chr1	33584598	33584998	*
436	chr1	33592110	33592510	*
437	chr1	33615586	33615986	*
438	chr1	33624425	33624825	*
439	chr1	33647528	33647928	*
440	chr1	33657578	33657978	*
441	chr1	33670200	33670600	*
442	chr1	33684455	33684855	*
443	chr1	33719761	33720161	*
444	chr1	33723690	33724090	*
445	chr1	33732999	33733399	*
446	chr1	33739312	33739712	*
447	chr1	33745646	33746046	*
448	chr1	33757600	33758000	*
449	chr1	33765567	33765967	*
450	chr1	33768632	33769032	*
451	chr1	33776662	33777062	*
452	chr1	33788086	33788486	*
453	chr1	33792528	33792928	*
454	chr1	33797834	33798234	*
455	chr1	33814294	33814694	*
456	chr1	33840461	33840861	*
457	chr1	33869632	33870032	*
458	chr1	33870815	33871215	*
459	chr1	33876410	33876810	*
460	chr1	33883373	33883773	*
461	chr1	33898388	33898788	*
462	chr1	33900134	33900534	*
463	chr1	33903628	33904028	*
464	chr1	33907835	33908235	*
465	chr1	33912565	33912965	*
466	chr1	33916538	33916938	*
467	chr1	33963495	33963895	*
468	chr1	33964674	33965074	*
469	chr1	33966375	33966775	*
470	chr1	33971808	33972208	*
471	chr1	33981986	33982386	*
472	chr1	33983536	33983936	*
473	chr1	33996426	33996826	*
474	chr1	34005641	34006041	*
475	chr1	34010969	34011369	*
476	chr1	34021552	34021952	*
477	chr1	34028769	34029169	*
478	chr1	34044516	34044916	*
479	chr1	34060922	34061322	*
480	chr1	34067522	34067922	*
481	chr1	34109646	34110046	*
482	chr1	34111934	34112334	*
483	chr1	34123290	34123690	*
484	chr1	34127713	34128113	*
485	chr1	34140040	34140440	*
486	chr1	34164582	34164982	*
487	chr1	34218345	34218745	*
488	chr1	34220449	34220849	*
489	chr1	34236360	34236760	*
490	chr1	34253869	34254269	*
491	chr1	34312186	34312586	*
492	chr1	34389542	34389942	*
493	chr1	34409878	34410278	*
494	chr1	34434524	34434924	*
495	chr1	34439564	34439964	*
496	chr1	34459532	34459932	*
497	chr1	34462870	34463270	*
498	chr1	34464548	34464948	*
499	chr1	34467794	34468194	*
500	chr1	34472962	34473362	*
501	chr1	34478927	34479327	*
502	chr1	34480812	34481212	*
503	chr1	34482024	34482424	*
504	chr1	34485595	34485995	*
505	chr1	34490117	34490517	*
506	chr1	34501452	34501852	*
507	chr1	34505865	34506265	*
508	chr1	34510958	34511358	*
509	chr1	34516839	34517239	*
510	chr1	34522181	34522581	*
511	chr1	34564331	34564731	*
512	chr1	34573249	34573649	*
513	chr1	34579445	34579845	*
514	chr1	34599525	34599925	*
515	chr1	34602331	34602731	*
516	chr1	34603719	34604119	*
517	chr1	34642481	34642881	*
518	chr1	34677912	34678312	*
519	chr1	34678849	34679249	*
520	chr1	34684733	34685133	*
521	chr1	34698667	34699067	*
522	chr1	34716449	34716849	*
523	chr1	34738381	34738781	*
524	chr1	34787241	34787641	*
525	chr1	34801489	34801889	*
526	chr1	34803701	34804101	*
527	chr1	34810742	34811142	*
528	chr1	34811456	34811856	*
529	chr1	34812651	34813051	*
530	chr1	34821424	34821824	*
531	chr1	34823353	34823753	*
532	chr1	34827932	34828332	*
533	chr1	34831129	34831529	*
534	chr1	34838323	34838723	*
535	chr1	34842877	34843277	*
536	chr1	34851542	34851942	*
537	chr1	34858671	34859071	*
538	chr1	34867214	34867614	*
539	chr1	34896881	34897281	*
540	chr1	34974691	34975091	*
541	chr1	34986832	34987232	*
542	chr1	35077607	35078007	*
543	chr1	35338162	35338562	*
544	chr1	35433767	35434167	*
545	chr1	35590636	35591036	*
546	chr1	35656428	35656828	*
547	chr1	35749382	35749782	*
548	chr1	35759710	35760110	*
549	chr1	35765660	35766060	*
550	chr1	35810543	35810943	*
551	chr1	35813642	35814042	*
552	chr1	35839440	35839840	*
553	chr1	35846650	35847050	*
554	chr1	35848993	35849393	*
555	chr1	35850046	35850446	*
556	chr1	35860734	35861134	*
557	chr1	35867183	35867583	*
558	chr1	35869509	35869909	*
559	chr1	35879546	35879946	*
560	chr1	35890534	35890934	*
561	chr1	35902283	35902683	*
562	chr1	35903972	35904372	*
563	chr1	35913466	35913866	*
564	chr1	35935107	35935507	*
565	chr1	35950981	35951381	*
566	chr1	35958410	35958810	*
567	chr1	35972195	35972595	*
568	chr1	35975630	35976030	*
569	chr1	35995173	35995573	*
570	chr1	36000952	36001352	*
571	chr1	36030330	36030730	*
572	chr1	36052605	36053005	*
573	chr1	36058827	36059227	*
574	chr1	36064869	36065269	*
575	chr1	36068107	36068507	*
576	chr1	36073172	36073572	*
577	chr1	36082208	36082608	*
578	chr1	36089619	36090019	*
579	chr1	36095646	36096046	*
580	chr1	36098277	36098677	*
581	chr1	36103777	36104177	*
582	chr1	36106148	36106548	*
583	chr1	36107328	36107728	*
584	chr1	36116559	36116959	*
585	chr1	36121182	36121582	*
586	chr1	36126196	36126596	*
587	chr1	36130299	36130699	*
588	chr1	36133593	36133993	*
589	chr1	36139929	36140329	*
590	chr1	36145075	36145475	*
591	chr1	36149384	36149784	*
592	chr1	36160152	36160552	*
593	chr1	36162680	36163080	*
594	chr1	36172954	36173354	*
595	chr1	36198907	36199307	*
596	chr1	36230907	36231307	*
597	chr1	36235018	36235418	*
598	chr1	36239386	36239786	*
599	chr1	36244085	36244485	*
600	chr1	36245867	36246267	*
601	chr1	36252827	36253227	*
602	chr1	36254584	36254984	*
603	chr1	36262087	36262487	*
604	chr1	36264130	36264530	*
605	chr1	36273283	36273683	*
606	chr1	36279163	36279563	*
607	chr1	36296471	36296871	*
608	chr1	36303326	36303726	*
609	chr1	36307951	36308351	*
610	chr1	36309572	36309972	*
611	chr1	36314965	36315365	*
612	chr1	36317447	36317847	*
613	chr1	36324003	36324403	*
614	chr1	36326094	36326494	*
615	chr1	36336170	36336570	*
616	chr1	36345056	36345456	*
617	chr1	36357253	36357653	*
618	chr1	36368900	36369300	*
619	chr1	36373961	36374361	*
620	chr1	36381167	36381567	*
621	chr1	36412673	36413073	*
622	chr1	36415811	36416211	*
623	chr1	36436608	36437008	*
624	chr1	36445135	36445535	*
625	chr1	36461802	36462202	*
626	chr1	36471220	36471620	*
627	chr1	36492395	36492795	*
628	chr1	36498570	36498970	*
629	chr1	36501282	36501682	*
630	chr1	36508274	36508674	*
631	chr1	36511576	36511976	*
632	chr1	36518067	36518467	*
633	chr1	36520504	36520904	*
634	chr1	36531588	36531988	*
635	chr1	36535924	36536324	*
636	chr1	36547135	36547535	*
637	chr1	36556578	36556978	*
638	chr1	36563104	36563504	*
639	chr1	36564289	36564689	*
640	chr1	36566415	36566815	*
641	chr1	36569378	36569778	*
642	chr1	36571602	36572002	*
643	chr1	36573843	36574243	*
644	chr1	36580375	36580775	*
645	chr1	36589880	36590280	*
646	chr1	36591341	36591741	*
647	chr1	36596074	36596474	*
648	chr1	36604261	36604661	*
649	chr1	36612520	36612920	*
650	chr1	36614582	36614982	*
651	chr1	36616843	36617243	*
652	chr1	36630174	36630574	*
653	chr1	36633259	36633659	*
654	chr1	36634913	36635313	*
655	chr1	36636594	36636994	*
656	chr1	36640343	36640743	*
657	chr1	36643827	36644227	*
658	chr1	36656063	36656463	*
659	chr1	36659001	36659401	*
660	chr1	36684123	36684523	*
661	chr1	36691267	36691667	*
662	chr1	36697096	36697496	*
663	chr1	36698051	36698451	*
664	chr1	36699357	36699757	*
665	chr1	36709802	36710202	*
666	chr1	36722538	36722938	*
667	chr1	36725328	36725728	*
668	chr1	36737271	36737671	*
669	chr1	36744518	36744918	*
670	chr1	36754281	36754681	*
671	chr1	36772520	36772920	*
672	chr1	36784692	36785092	*
673	chr1	36789407	36789807	*
674	chr1	36797459	36797859	*
675	chr1	36805684	36806084	*
676	chr1	36806999	36807399	*
677	chr1	36815073	36815473	*
678	chr1	36836568	36836968	*
679	chr1	36861695	36862095	*
680	chr1	36874892	36875292	*
681	chr1	36884445	36884845	*
682	chr1	36904543	36904943	*
683	chr1	36914516	36914916	*
684	chr1	36917939	36918339	*
685	chr1	36923017	36923417	*
686	chr1	36927590	36927990	*
687	chr1	36939692	36940092	*
688	chr1	36947912	36948312	*
689	chr1	36960854	36961254	*
690	chr1	36962405	36962805	*
691	chr1	36965829	36966229	*
692	chr1	36987157	36987557	*
693	chr1	37000341	37000741	*
694	chr1	37013018	37013418	*
695	chr1	37026803	37027203	*
696	chr1	37029266	37029666	*
697	chr1	37154188	37154588	*
698	chr1	37176220	37176620	*
699	chr1	37186233	37186633	*
700	chr1	37216111	37216511	*
701	chr1	37248399	37248799	*
702	chr1	37250405	37250805	*
703	chr1	37254932	37255332	*
704	chr1	37272431	37272831	*
705	chr1	37296040	37296440	*
706	chr1	37299838	37300238	*
707	chr1	37308660	37309060	*
708	chr1	37314953	37315353	*
709	chr1	37317904	37318304	*
710	chr1	37322731	37323131	*
711	chr1	37332101	37332501	*
712	chr1	37332874	37333274	*
713	chr1	37336232	37336632	*
714	chr1	37341932	37342332	*
715	chr1	37344505	37344905	*
716	chr1	37357138	37357538	*
717	chr1	37393472	37393872	*
718	chr1	37394389	37394789	*
719	chr1	37401714	37402114	*
720	chr1	37417825	37418225	*
721	chr1	37419389	37419789	*
722	chr1	37429915	37430315	*
723	chr1	37450488	37450888	*
724	chr1	37457535	37457935	*
725	chr1	37466664	37467064	*
726	chr1	37474414	37474814	*
727	chr1	37477950	37478350	*
728	chr1	37480634	37481034	*
729	chr1	37486430	37486830	*
730	chr1	37491689	37492089	*
731	chr1	37495973	37496373	*
732	chr1	37505133	37505533	*
733	chr1	37524697	37525097	*
734	chr1	37531557	37531957	*
735	chr1	37534591	37534991	*
736	chr1	37540947	37541347	*
737	chr1	37543891	37544291	*
738	chr1	37547249	37547649	*
739	chr1	37551551	37551951	*
740	chr1	37559701	37560101	*
741	chr1	37561971	37562371	*
742	chr1	37586108	37586508	*
743	chr1	37599926	37600326	*
744	chr1	37602265	37602665	*
745	chr1	37605667	37606067	*
746	chr1	37622011	37622411	*
747	chr1	37631441	37631841	*
748	chr1	37633258	37633658	*
749	chr1	37639093	37639493	*
750	chr1	37678295	37678695	*
751	chr1	37696910	37697310	*
752	chr1	37709752	37710152	*
753	chr1	37719716	37720116	*
754	chr1	37721132	37721532	*
755	chr1	37727194	37727594	*
756	chr1	37734816	37735216	*
757	chr1	37761616	37762016	*
758	chr1	37860340	37860740	*
759	chr1	37864749	37865149	*
760	chr1	37872069	37872469	*
761	chr1	37890255	37890655	*
762	chr1	37903154	37903554	*
763	chr1	37904924	37905324	*
764	chr1	37931769	37932169	*
765	chr1	37997118	37997518	*
766	chr1	38012143	38012543	*
767	chr1	38025329	38025729	*
768	chr1	38038987	38039387	*
769	chr1	38049588	38049988	*
770	chr1	38054543	38054943	*
771	chr1	38064046	38064446	*
772	chr1	38081306	38081706	*
773	chr1	38121268	38121668	*
774	chr1	38129820	38130220	*
775	chr1	38161564	38161964	*
776	chr1	38233126	38233526	*
777	chr1	38237108	38237508	*
778	chr1	38249565	38249965	*
779	chr1	38259691	38260091	*
780	chr1	38263339	38263739	*
781	chr1	38292761	38293161	*
782	chr1	38297821	38298221	*
783	chr1	38357082	38357482	*
784	chr1	38384737	38385137	*
785	chr1	38392969	38393369	*
786	chr1	38403799	38404199	*
787	chr1	38428711	38429111	*
788	chr1	38437677	38438077	*
789	chr1	38470168	38470568	*
790	chr1	38495306	38495706	*
791	chr1	38548886	38549286	*
792	chr1	38554524	38554924	*
793	chr1	38557570	38557970	*
794	chr1	38601782	38602182	*
795	chr1	38627265	38627665	*
796	chr1	38647383	38647783	*
797	chr1	38657602	38658002	*
798	chr1	38664834	38665234	*
799	chr1	38668951	38669351	*
800	chr1	38694132	38694532	*
801	chr1	38767058	38767458	*
802	chr1	38777515	38777915	*
803	chr1	38785089	38785489	*
804	chr1	38787439	38787839	*
805	chr1	38846150	38846550	*
806	chr1	38848068	38848468	*
807	chr1	38864876	38865276	*
808	chr1	38897837	38898237	*
809	chr1	38899803	38900203	*
810	chr1	38902546	38902946	*
811	chr1	38949678	38950078	*
812	chr1	38951378	38951778	*
813	chr1	38968873	38969273	*
814	chr1	38987497	38987897	*
815	chr1	38997116	38997516	*
816	chr1	39001133	39001533	*
817	chr1	39007593	39007993	*
818	chr1	39010697	39011097	*
819	chr1	39025351	39025751	*
820	chr1	39078561	39078961	*
821	chr1	39089816	39090216	*
822	chr1	39102529	39102929	*
823	chr1	39105525	39105925	*
824	chr1	39123906	39124306	*
825	chr1	39144377	39144777	*
826	chr1	39158716	39159116	*
827	chr1	39192520	39192920	*
828	chr1	39196730	39197130	*
829	chr1	39201701	39202101	*
830	chr1	39204983	39205383	*
831	chr1	39206909	39207309	*
832	chr1	39209574	39209974	*
833	chr1	39238159	39238559	*
834	chr1	39243376	39243776	*
835	chr1	39244853	39245253	*
836	chr1	39256520	39256920	*
837	chr1	39260971	39261371	*
838	chr1	39281850	39282250	*
839	chr1	39286469	39286869	*
840	chr1	39290378	39290778	*
841	chr1	39292945	39293345	*
842	chr1	39294866	39295266	*
843	chr1	39302216	39302616	*
844	chr1	39307213	39307613	*
845	chr1	39309546	39309946	*
846	chr1	39313636	39314036	*
847	chr1	39321554	39321954	*
848	chr1	39327238	39327638	*
849	chr1	39340732	39341132	*
850	chr1	39344548	39344948	*
851	chr1	39349018	39349418	*
852	chr1	39367604	39368004	*
853	chr1	39392204	39392604	*
854	chr1	39396360	39396760	*
855	chr1	39408634	39409034	*
856	chr1	39417832	39418232	*
857	chr1	39428259	39428659	*
858	chr1	39438995	39439395	*
859	chr1	39443683	39444083	*
860	chr1	39450266	39450666	*
861	chr1	39455645	39456045	*
862	chr1	39463817	39464217	*
863	chr1	39469015	39469415	*
864	chr1	39476369	39476769	*
865	chr1	39478483	39478883	*
866	chr1	39480466	39480866	*
867	chr1	39482101	39482501	*
868	chr1	39487405	39487805	*
869	chr1	39493086	39493486	*
870	chr1	39499639	39500039	*
871	chr1	39503177	39503577	*
872	chr1	39520821	39521221	*
